hName,hGender,widowed,hClass,hOccupaton,hOccCat,hLocale,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOcc,boccCat,bLocale,bActive,bID,bOMID,term,pL,pD,pF,pS,nurse,man.,age_man,actTitle,actDate,actYear,ActDescription,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItemOMID,rights,actID,actOMID
Bartolomeo de Insulahona,male,,artefices,accimator,metal workers,,1394–1419,11e3fa9e-edf8-4f52-85e7-556ad22dbc0c,37145,Giorgetto,,,,male,21,1398–1419,6718186a-9f3b-48b9-b610-85f0bd54fd70,37523,Bartolomeo de Petra,male,artefices,accimator,metal workers,Pietra Ligure,1394–1419,b03a250c-b41f-4510-9c6a-f8f4f19a4be8,37345,5,45,,,,,,26,"Gregorio Labaino, filza 6, series I, nr. 97",1419,1419,"A certain Bartolomeo de Insulahona, accimator, leases out the --- slave Giorgetto, who is 21 years of age, to a certain Bartolomeo de Petra, accimator, for 5 years and 45 lire.",Gregorio Labaino,96f2e7d6-05c7-4ab7-9b52-bc909ea30f60,23814,Notai antichi 607,75767799-cf99-4489-b433-d496622171f8,37807,Archivio di stato di Genova,2fa34e36-6119-4357-884f-0d194e5a1b63,
Bartolomeo Bosco,male,,artefices,legum doctor,professionals,,1407–1432,879adf55-e916-4e8a-ae93-fed43938e282,37143,Calì,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,male,18,1414–1432,f3278e90-f0f7-40d2-a61a-26c223e05fa4,37518,Agostino de Pinu,male,artefices,,,Pino (Corsica),1407–1432,daac3c1c-3578-4a55-823b-eeb5b6ec9922,37318,4,35,,,,,,22,"Niccolò Garumbero, filza 1, series III, item dated 1432-11-21",1432-11-21,1432,"A certain Bartolomeo Bosco, lawyer, leases out the Abkhazan slave Calì, who is 18 years of age, to a certain Agostino de Pinu, for 4 years and 35 lire.",Niccolò Garumbero,541c1940-d900-4d84-b3e1-11a9c1a9311c,23522,Notai antichi 627,a384c127-4161-4d2b-b860-a6ce18b4cf70,37811,Archivio di stato di Genova,24fe4239-1463-41f6-9382-3d7f30a2430d,
Giovanni Lanzapango,male,,artefices,mersarius,silk workers,,1394–1419,4ee64a79-9ca8-46d2-a229-b47180505e6a,37216,Maddalena,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,18,1401–1419,f232578a-e20f-4478-a40d-040d9a39d9a9,37622,Antonio de Recco,male,artefices,,,Recco,1394–1419,e47d1c23-34fa-404d-ba01-3893f872cdcd,37336,6,36.25,,,,,,24,"Giuliano Canella, register 6, 1418–1421, fol. 168r",1419,1419,"A certain Giovanni Lanzapango, mersarius, leases out the Russian slave Maddalena, who is 18 years of age, to a certain Antonio de Recho, for a period of 6 years and 36L 5s.",Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Notai antichi 483,d40512e6-0879-4309-ae32-8bc8e12a7907,37783,Archivio di stato di Genova,9e96ad62-dd7c-4400-9e48-ff4b2d0bc875,
Niccolò Pellegrino,male,,artefices,sartor,urban shopkeepers,,1424–1449,700ffeff-05ba-4a0b-8c88-47dd60db6dd5,37264,Anastasia,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,25,1424–1449,cea91d3a-82ec-486a-b104-75cde295e2ff,37680,Rolando Axilo,male,artefices,,,Savona,1424–1449,66bf0094-dc5c-47a2-a98d-4ce1877e57d7,37474,7,53,,,,,,32,"Antonio Fazio, filza 13, series II, nr. 223",1449-01-03,1449,"A certain Niccolò Pellegrino sartore rents out the Russian slave Anastasia, who is 25 years of age, to a certain Rolando Axillo, for 7 years at a cost of 53 lire.",Antonio Fazio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 587,e8914049-a5fb-484b-a5f8-a2b818ee4827,37799,Archivio di stato di Genova,60e2104f-f028-4f9b-be11-9ca7bd00d924,
Giacomo de Andoria,male,,artefices,mercante alemano,,Andora,1431–1456,5704f613-6514-486d-a819-4d79d8503502,37198,Margherita,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,34,1422–1456,b04f9e6c-47c2-446d-bbf0-76ddb1155660,37599,Giacomo de Frassineto,male,artefices,peliparius,leather workers,,1431–1456,a90106f0-dacb-46b1-a19b-1c2eda788c46,37393,5,44,,,,,,39,"Tommaso Duracino, filza 2, series II, nr. 149",1456-05-30,1456,"A certain mercante alemano Giacomo de Andoia rents out (locatio) the Hungarian slave Margherita, who is 34 years of age, to a certain Giacomo Frassineto, for 5 years and 44 lire.",Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,aa558b68-4fb0-44a6-a7eb-bdcbc4699cb9,
Blasio de Bargono,male,,artefices,,,Bargone,1451–1476,5c722ec5-cf22-4b3f-825c-54913d2bedd1,37169,Anna,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,50,1426–1476,4c895719-cdfd-4c30-a865-d8230612f0a3,37554,Giacomo Solario,male,artefices,faber,metal workers,,1451–1476,766d26d4-d95f-488e-9572-bd88888451fd,37396,3,35,,,,y,,53,"Tommaso Duracino, filza 19, series II, nr. 303",1476-11-25,1476,"A certain Blasio de Bargono rents out the Russian slave Anna, who is 50 years of age, to a certain Giacomo Solario, faber, for 3 years at a cost of 35 lire.",Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 906,52b5aab4-11dc-40bd-b327-fedfb7dbbe90,37846,Archivio di stato di Genova,e5bd5642-4539-4a9d-a980-d27a345af23b,
Girolamo de Camulio,male,,artefices,episcopus,,Camogli | Chios,1460–1485,ea719b13-0868-4d4a-95df-0d05d49335e6,37221,Anna,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,24,1461–1485,c849d33d-7bae-45ba-a00b-200e64d4aa1f,37628,Bernardo Alessio,male,artefices,peliparius,leather workers,,1460–1485,f0346452-aa9c-442d-aef9-6d521b653432,37360,4,30,,,,,y,28,"Pietro de Ripalta, filza 3, nr. 356",1485-04-21,1485,"A certain Girolamo de Camulio, the bishop of Chios, leases out the Albanian slave Anna, who is 24 years of age, to a certain Bernardo Alesio, peliparius, for 4 years and 30 lire. At the end of the contract she is to be freed. (a form of locatio contract).",Pietro de Ripalta,617cd8ee-909a-447f-9bb7-23f8b6fefb58,31253,Notai antichi 1095,041aab3c-0a19-4a3f-827c-d720d83627ed,37752,Archivio di stato di Genova,401ec7a4-17ad-4e9f-8836-e5b14b951338,
Giovanni de Clavaro,male,,artefices,notarius,professionals,Chiavari,1445–1470,77567b3d-4385-46a4-8ac9-4076489d4941,30461,Maddalena,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,26,1442–1470,e57ada75-ea65-4375-8b6e-64c0be65fd88,35396,Antonio Carrega,male,artefices,,,,1445–1470,0dd814dc-5fb0-4f8b-9278-418dc4ffb34d,37135,11,150,,,,,,37,"Giacomo Rondanina, filza 5, series II, nr. 71",1470,1470,"A certain Giovanni de Clavaro leases the Russian slave Maddalena, who is 26 years of age, to a certain Antonio Carrega, for 11 years and 150 lire.",Giacomo Rondanina,d531a40e-11b3-4045-b5f5-bc9ce73b3fe9,25524,Notai antichi 878,ec8b8960-3d8b-42f0-ae55-6507eb2e9c9c,37831,Archivio di stato di Genova,c5cc79d1-6e53-4047-8df4-319b82fe2a39,
Giovanni de Davania,male,,artefices,formagarius,urban shopkeepers,Davagna,1426–1451,7301f032-8267-4f0f-a5b8-bcdf24ba89d2,37212,Marta,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,28,1423–1451,d55bfa5d-3c24-41e6-a4c0-547426e9b62a,37617,Pietro Grosso,male,artefices,notarius,professionals,,1426–1451,19f57992-a5fb-4d69-842e-72854fcb70cb,37466,5,100,,,,,y,33,"Antonio Fazio, filza 14, series I, nr. 65",1451,1451,"A certain Giovanni de Davania, formaggiaio, leases the Russian slave Marta, who is 28 years of age, to the notary Pietro Grosso, for 5 years and 100 lire. At the end of the contract she is to be freed.",Antonio Fazio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 588,ed64de2e-d672-4325-9da7-d57122d0f215,37800,Archivio di stato di Genova,88f9ca95-611e-43c3-8d93-93d3a3564590,
Matteo de Davania,male,,artefices,,,Davagna,1424–1449,9d56d65c-af41-40af-84e3-06bc7d906192,37252,Maria,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,30,1419–1449,234152b0-4a4b-43e5-ad77-37cdf4187cf0,37667,Battista Costa,male,artefices,,,,1424–1449,64862f9a-4ebe-4e60-a92f-c75912014f89,26438,8,100,,,,,y,38,"Antonio Fazio, filza 13, series II, nr. 257",1449,1449,"A certain Matteo de Davania leases the Russian slave Maria, who is 30 years of age, to Battista Costa, for 8 years and 100 lire. At the completion of the contract she is to be freed.",Antonio Fazio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 587,e8914049-a5fb-484b-a5f8-a2b818ee4827,37799,Archivio di stato di Genova,b36d4f93-5374-47e2-89fc-94a3533a79d2,
Raffaele della Spezia,male,,artefices,,,La Spezia,1391–1416,52d3bce7-99fb-42f5-bb49-16a330a36de1,37286,Maria,,,,female,,–1416,badb076e-c644-4e01-be37-ac31bb0764f9,37707,Egidio Merello,male,artefices,,,,1391–1416,dff91ea7-d1eb-411f-800e-28c0dfeac16f,37380,,,,,,y,,0,"Giuliano Canella, register 5, 1415–1417, fol. 54r–v",1416-01-09,1416,"A certain Raffaele della Spezia, civis Ianue, leases out the --- slave Maria who is --- years of age, to a certain Egidio Merello, for 30 soldi per month. She is leased for the purpose of wet-nursing. The contract alllows for Egidio to terminate the lease at the end of each month.",Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Notai antichi 482,3bdca31d-2a31-4dc7-a250-9ad08f4e3f4d,37782,Archivio di stato di Genova,29f99aab-0c17-4540-a9b0-45d8358d43ad,
Giovanni de Mulassana,male,,artefices,calzolarius,leather workers,Molassana,1412–1437,0f5910c5-cf59-4fa5-b8dc-102582312a66,30470,Lucia,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,21,1416–1437,b4bcd8ef-c436-4310-9782-a7321effeca6,35316,Gabriele Rissotto,male,artefices,corrigiarius,leather workers,,1412–1458,c292f3ba-d4ae-40f7-86b9-1445f221e064,30347,,40,,,,y,,21,"Antonio Fazio, filza 5, series I, nr. 122",1437-05-13,1437,"A quittance between Giovanni de Mulasana, calzolarius, and Gabriele Biscotto, corrigiarius, for two slaves who been exchanged between them. One of them, Lucia, is col latte and who is now said to be pregnant. The --- slave Lucia, who is --- years of age, is leased out by Giovanni de Mulasana for pro alomna for 40 lire (locatio).",Antonio Fazio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 579,7c17d650-29fb-4477-96c5-8d0fb617e071,37797,Archivio di stato di Genova,e0b798a0-323d-4eb1-9481-43705bf1ce2e,
Giovanni de Stachino,male,,artefices,,,Mongelia,1449–1474,856a7ce4-989c-443d-85de-d2cdfb2fe326,37214,Melica,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,30,1444–1474,93f6125e-c68e-4ee3-831d-3bfc770cd772,37619,Ambrogio Carrega,male,artefices,,,,1449–1474,11ba24bb-a533-4622-b0bf-311cd10688b8,37321,15,125,,,,,y,45,"Tommaso Duracino, filza 17, nr. 199",1474-03-19,1474,"A certain Giovanni Stachino rents the Hungarian slave Melica, who is 30 years of age, to a certain Ambrogio Carrega, for 15 years at a cost of 125 lire.",Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 904,3e8804eb-7476-4f4f-b6c6-6a040ba0611c,37844,Archivio di stato di Genova,4b243b0b-6995-4275-a5ab-9ddd61be3896,
Bartolomeo de Vulturo,male,,artefices,remolarius,leather workers,Voltri,1368–1393,08af9d46-341b-46e6-9095-d32aa1c297cd,37151,Maddalena,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,20,1373–1393,1694025f-727c-425f-bb33-1ce138454aa3,37529,Raffaele Torre,male,artefices,,,,1368–1393,ad0129b9-85c9-4acf-9289-1a545632ccf1,37472,3,55,,,,y,,23,"Andreolo Caito, register 4, 1392–1393, fol. 11v",1393-01-07,1393,"Bartolomeo de Vulturo, remolarius, leases out the Circassian slave Maddalena, who is 20 years of age, to a certain Raffaele dello Torre, for 3 years and 55 lire. She is lease come balia and with the agreement that she may be returned if she is not able to produce milk for wet-nursing.",Andreolo Caito,a067dbb7-bf13-4550-8cc0-be7f3e552647,23122,Notai antichi 312,704f509f-023d-4038-afa8-34b4a6f47f43,37775,Archivio di stato di Genova,fd2cc720-c327-48ec-b166-7ec70cb91e1e,
Stefano Braccelli,male,,artefices,notarius,professionals,,1470–1495,743ccf86-4774-409c-8261-12abfa20d40e,37291,Francisca,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,20,1475–1495,a4fc992d-e7e2-4157-88b4-ce359a8bacbf,37718,Girolamo de Porta,male,artefices,,,,1470–1495,111d6f1f-8903-4103-bea2-fa33c50571ca,27110,5,50,,,,,y,25,"Niccolò Raggi, filza 22, nrs. 466–467",1495,1495,"A certain Stefano Braccelli, chancellor, leases out the Moorish slave Francisca, who is 20 years of age, to a certain Girolamo de Porta, for 5 years and 50 lire. At the end of the contract she is to be freed. Paried with item nr. 467.",Nicolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1034,469487ff-3737-4563-bf48-a0565971b51f,37749,Archivio di stato di Genova,81da8299-f00f-4b11-8306-e785a925e0c0,
Domenico Merello,male,,artefices,,,,1389–1414,e39df212-c94f-4eb3-a49b-f84cf90613fa,37180,Caterina,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,24,1390–1414,1e8c7be3-1715-4ed1-81f1-5b3862443c72,37571,Agostino Gropallo,male,artefices,,,,1389–1414,8e1eef53-0c94-4080-8c0f-d2dd3a76d691,29930,10,60,,,,,y,34,"Andrea Medianotte, filza 1, series I, nr. 85",1414,1414,"A certain Domenico Merello leases the Circassian slave Caterina, who is 24 years of age, to a certain Agostino Gropallo, for 10 years and 60 lire. At the end of the contract she is to be freed.",Andrea Medianotte,8e70fdbc-335b-4ac8-85df-273361b1badf,31221,Notai antichi 547,5ec4d5e0-9fb4-4f72-ac64-81eccb404e02,37790,Archivio di stato di Genova,b1f66619-f965-4c77-8957-25b93beb74f5,
Matteo Vivolo,male,,artefices,,,,1449–1474,9f56c475-1bb8-494e-b49b-8a0f161b0068,37253,Cita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,,–1474,f54bdb5b-2eb2-4c77-851c-372dba689782,37669,Giraforte Costa,male,artefices,calzolarius,leather workers,,1449–1474,0807ec80-6fbe-4437-950c-3e8a6bd6ee27,37413,10,90,,,,,y,,"Lorenzo Costa, filza 6, series I, nr. 325",1474,1474,"A certain Matteo Vivolo leases out the Abkhazan slave Cita, who is --- years of age, to a certain Giraforte Costa, calzolaio, for 10 years and 90 lire. At the end of her service she is to be freed.",Lorenzo Costa,114bb456-e4db-42db-a1d0-8e66f53996b4,23313,Notai antichi 992,f3762194-7ae2-4535-9fa7-e91d855d612a,37861,Archivio di stato di Genova,9095a2e9-5ecb-4e94-ac3d-5ce704ecc31d,
Giacomo de Sancto Salvatore,male,,artefices,,,,1400–1425,a34d8ebc-43e4-4776-80a1-ed0751e89202,37203,Lucia,,,,female,,–1425,4a4c8b42-5b7a-48fc-87b5-17a7efcee86e,37605,Pietro de Pluma,male,artefices,formagerius,urban shopkeepers,,1400–1425,d82d2ee7-6d22-4c37-b14c-3c89e8d20d8f,37465,3,60,,,,y,,3,"Narino Montaldo, filza 1, series II, nr. 88",1425-04-24,1425,"Giacomo di San Salvatore leases to Pietro de Pluma, a cheesemaker, his household servant (fantesca) Lucia, as a wet-nurse for three years and for 60 lire.",Narino Montaldo,dca9d2a2-5e47-4a2c-8c0b-cc1ba7d41f8e,25345,Notai antichi 619,5973d6c8-196c-4807-b9a3-4c254776c3a7,37810,Archivio di stato di Genova,ca3aa001-2ab6-4f5d-8dca-401c7e9ae0b4,
Antonio Carrega,male,,artefices,,,,1450–1475,0dd814dc-5fb0-4f8b-9278-418dc4ffb34d,37135,Maddalena,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,,–1475,eda7a807-bd68-407b-900d-b093125d1e0c,37506,Bartolomeo de Zino,male,artefices,calzolarius,leather workers,,1450–1475,3e547eca-96d8-49cd-852f-1dbb598c0d01,37349,6.7,50,,,,,,6.7,"Tommaso Duracino, filza 18, nr. 561 (formerly nr. 516)",1475-09-01,1475,"A certain Antonio Carrega rents out (sublets) the Hungarian slave Maddalena, whose age is not indicated and whom he had rented for 6 years and 8 months, to a certain shoemaker Bartolomeo de Zino, for 50 lire.",Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 905,a3df6402-1b42-421a-afd6-caf0fe36cd74,37845,Archivio di stato di Genova,6b00c314-c472-4b06-8097-d775e4ec9481,
Terruccio de Terrucio,male,,artefices,,,,1429–1454,418f9573-ae3f-4957-9821-ab661606b16b,37295,Maria,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,20,1434–1454,9863883f-f2bb-428f-a2e2-806c4b2f76de,37724,Antonio de Varcio,male,artefices,barberius,urban shopkeepers,,1429–1454,08c56b50-54c1-469e-8487-baf919c61ecd,37338,3,36,,,,,,23,"Tommaso Duracino, filza 1, series II, nr. 36",1454-02-17,1454,"A certain Terruccio de Terrucio rents the Russian slave Maria, who is 20 years of age, to a certain Antonio de Varcio, barberius, for 3 years and 36 lire.",Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 888,af120abc-a312-41b7-8b93-49985584cbe0,26211,Archivio di stato di Genova,0285db20-db78-4838-9e9c-19b957da306d,
